Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S34217575,White-faced Heron,Egretta novaehollandiae,2154,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-07-2017,04:27 PM,eBird - Stationary Count,38,1,,,1
S36612401,White-faced Heron,Egretta novaehollandiae,2154,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S36612515,White-faced Heron,Egretta novaehollandiae,2154,3,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S38311411,White-faced Heron,Egretta novaehollandiae,2154,1,AU-NSW,,Randwick Environment Park,-33.9315125,151.2478781,07-25-2017,01:51 PM,eBird - Traveling Count,55,1,2,,1
S34548191,White-faced Heron,Egretta novaehollandiae,2154,1,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-20-2017,01:33 PM,eBird - Casual Observation,,0,,,1
S34606207,White-faced Heron,Egretta novaehollandiae,2154,2,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-21-2017,05:44 PM,eBird - Traveling Count,45,0,1.5,,3
S34661536,White-faced Heron,Egretta novaehollandiae,2154,1,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-23-2017,08:39 AM,eBird - Casual Observation,,0,,,1
S36190791,White-faced Heron,Egretta novaehollandiae,2154,7,AU-NSW,,Sydney Olympic Park--Waterbird Refuge,-33.83732,151.07839,04-23-2017,01:25 PM,eBird - Traveling Count,80,1,3,,1
S37617658,Little Egret,Egretta garzetta,2158,3,PT-01,Aveiro,Ria de Aveiro--complexo de salinas do Canal das Pirâmides (Salina da Troncalhada e outras),40.6417709,-8.6631972,06-16-2017,07:08 AM,eBird - Casual Observation,,0,,,2
S33880479,Little Egret,Egretta garzetta,2158,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S35447772,Snowy Egret,Egretta thula,2169,6,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35501895,Snowy Egret,Egretta thula,2169,1,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35404204,Snowy Egret,Egretta thula,2169,1,US-CA,Marin,"US-Califórnia-Mill Valley-William T. Bagley Freeway - 37,883x-122,516",37.8830087,-122.515974,03-24-2017,04:28 PM,eBird - Casual Observation,,0,,,1
S35373114,Snowy Egret,Egretta thula,2169,2,US-CA,Santa Barbara,Santa Barbara Harbor,34.4078515,-119.6898863,03-23-2017,08:31 AM,eBird - Stationary Count,20,1,,,1
S35651135,Snowy Egret,Egretta thula,2169,5,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S33918739,Little Blue Heron,Egretta caerulea,2173,X,VE-P,,Rio Las Marias,9.1752284,-69.7145605,01-15-1999,07:00 AM,eBird - Casual Observation,0,0,,,1
S33882090,Cattle Egret,Bubulcus ibis,2183,X,IN-RJ,Jodhpur,Barli Lake,26.3153438,72.9285765,03-18-2015,03:00 PM,eBird - Casual Observation,0,0,,,2
S35373127,Cattle Egret,Bubulcus ibis,2183,1,US-CA,Santa Barbara,Mission Creek outflow (SBA Co.),34.4127959,-119.6869361,03-23-2017,08:57 AM,eBird - Casual Observation,,0,,,1
S34493680,Cattle Egret,Bubulcus ibis,2183,X,AU-NSW,,A1 near Bulahdelah,-32.4211962,152.2091389,02-19-2017,10:00 AM,eBird - Casual Observation,0,0,,,3
S33918739,Cattle Egret,Bubulcus ibis,2183,X,VE-P,,Rio Las Marias,9.1752284,-69.7145605,01-15-1999,07:00 AM,eBird - Casual Observation,0,0,,,1
S33882090,Indian Pond-Heron,Ardeola grayii,2189,X,IN-RJ,Jodhpur,Barli Lake,26.3153438,72.9285765,03-18-2015,03:00 PM,eBird - Casual Observation,0,0,,,2
S33951027,Chinese Pond-Heron,Ardeola bacchus,2190,4,CN-53,,Xishuangbanna Tropical Botanical Garden,21.9285951,101.2555897,04-01-2012,08:00 AM,eBird - Casual Observation,0,0,,,1
S33918739,Striated Heron,Butorides striata,2201,X,VE-P,,Rio Las Marias,9.1752284,-69.7145605,01-15-1999,07:00 AM,eBird - Casual Observation,0,0,,,1
S35447772,Black-crowned Night-Heron,Nycticorax nycticorax,2233,8,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35350882,Black-crowned Night-Heron,Nycticorax nycticorax,2233,1,US-CA,Santa Barbara,Santa Barbara Harbor,34.4078515,-119.6898863,03-22-2017,08:24 AM,eBird - Traveling Count,30,1,1,,1
S35373114,Black-crowned Night-Heron,Nycticorax nycticorax,2233,4,US-CA,Santa Barbara,Santa Barbara Harbor,34.4078515,-119.6898863,03-23-2017,08:31 AM,eBird - Stationary Count,20,1,,,1
S35651135,Black-crowned Night-Heron,Nycticorax nycticorax,2233,2,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S33918739,Scarlet Ibis,Eudocimus ruber,2267,X,VE-P,,Rio Las Marias,9.1752284,-69.7145605,01-15-1999,07:00 AM,eBird - Casual Observation,0,0,,,1
S33918739,Bare-faced Ibis,Phimosus infuscatus,2278,X,VE-P,,Rio Las Marias,9.1752284,-69.7145605,01-15-1999,07:00 AM,eBird - Casual Observation,0,0,,,1
S34907512,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,AU-New South Wales-Randwick-9A Arthur Street - -33.915x151.236,-33.9148602,151.2362741,03-02-2017,02:04 PM,eBird - Traveling Count,18,1,.5,,1
S33632728,Australian Ibis,Threskiornis moluccus,2294,6,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,01-13-2017,04:22 PM,eBird - Stationary Count,7,1,,,1
S34195038,Australian Ibis,Threskiornis moluccus,2294,12,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-06-2017,05:38 PM,eBird - Traveling Count,3,1,.2,,1
S34236123,Australian Ibis,Threskiornis moluccus,2294,5,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-08-2017,06:05 PM,eBird - Traveling Count,6,1,.2,,1
S34339252,Australian Ibis,Threskiornis moluccus,2294,12,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-13-2017,06:35 PM,eBird - Traveling Count,6,1,.2,,1
S34397268,Australian Ibis,Threskiornis moluccus,2294,12,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-16-2017,05:31 PM,eBird - Traveling Count,8,1,.2,,1
S34778571,Australian Ibis,Threskiornis moluccus,2294,25,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,02-25-2017,05:24 PM,eBird - Traveling Count,9,1,.3,,1
S35056293,Australian Ibis,Threskiornis moluccus,2294,25,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,03-09-2017,02:44 PM,eBird - Traveling Count,13,1,.3,,1
S35120999,Australian Ibis,Threskiornis moluccus,2294,15,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,03-12-2017,03:09 PM,eBird - Traveling Count,3,1,.3,,1
S36134606,Australian Ibis,Threskiornis moluccus,2294,4,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,04-21-2017,03:47 PM,eBird - Traveling Count,7,1,.3,,1
S36495393,Australian Ibis,Threskiornis moluccus,2294,4,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,05-03-2017,09:53 AM,eBird - Stationary Count,2,1,,,1
S38090135,Australian Ibis,Threskiornis moluccus,2294,12,AU-NSW,,"Belmore Park, Sydney",-33.8812941,151.2076342,07-12-2017,08:54 AM,eBird - Stationary Count,9,1,,,1
S33423571,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-04-2017,02:01 PM,eBird - Stationary Count,10,1,,,1
S33870380,Australian Ibis,Threskiornis moluccus,2294,26,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-23-2017,09:21 AM,eBird - Traveling Count,36,1,.8,,1
S33894599,Australian Ibis,Threskiornis moluccus,2294,22,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S33914429,Australian Ibis,Threskiornis moluccus,2294,26,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-25-2017,10:19 AM,eBird - Traveling Count,30,1,.8,,1
S34023341,Australian Ibis,Threskiornis moluccus,2294,38,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S34078473,Australian Ibis,Threskiornis moluccus,2294,70,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Australian Ibis,Threskiornis moluccus,2294,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Australian Ibis,Threskiornis moluccus,2294,44,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Australian Ibis,Threskiornis moluccus,2294,17,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
S37077499,Australian Ibis,Threskiornis moluccus,2294,25,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,05-23-2017,08:45 AM,eBird - Traveling Count,35,1,.8,,3
S37766357,Australian Ibis,Threskiornis moluccus,2294,45,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-24-2017,03:28 PM,eBird - Traveling Count,60,1,3,,1
S37838584,Australian Ibis,Threskiornis moluccus,2294,25,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,06-27-2017,04:23 PM,eBird - Traveling Count,40,1,2.5,,1
S35056351,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Central Station (Sydney),-33.88307,151.20501,03-09-2017,03:02 PM,eBird - Stationary Count,1,1,,,1
S33979870,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Darlinghurst,-33.88032,151.21907,01-28-2017,07:16 PM,eBird - Traveling Count,10,1,1,,2
S35932805,Australian Ibis,Threskiornis moluccus,2294,12,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S38199496,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Harmony Park,-33.8799673,151.2120988,07-18-2017,04:32 PM,eBird - Stationary Count,35,1,,,2
S34061820,Australian Ibis,Threskiornis moluccus,2294,38,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,01-31-2017,02:21 PM,eBird - Traveling Count,27,1,1.5,,1
S34063134,Australian Ibis,Threskiornis moluccus,2294,28,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,01-31-2017,05:42 PM,eBird - Traveling Count,6,1,.3,,1
S34217786,Australian Ibis,Threskiornis moluccus,2294,16,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,02-07-2017,05:53 PM,eBird - Traveling Count,5,1,.3,,1
S34358441,Australian Ibis,Threskiornis moluccus,2294,35,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,02-14-2017,05:23 PM,eBird - Traveling Count,5,1,.4,,1
S34946590,Australian Ibis,Threskiornis moluccus,2294,53,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,03-04-2017,05:23 PM,eBird - Traveling Count,20,1,.6,,1,,,Light rain. Marti gras preparations. Only lorikeets dressed appropriately
S35169249,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,03-14-2017,05:38 PM,eBird - Traveling Count,5,1,.3,,1
S35939036,Australian Ibis,Threskiornis moluccus,2294,14,AU-NSW,,Hyde Park (Sydney),-33.8746914,151.2118721,04-14-2017,05:33 PM,eBird - Traveling Count,5,1,.3,,2
S34041186,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-30-2017,05:58 PM,eBird - Stationary Count,33,1,,,1
S34084833,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-01-2017,05:13 PM,eBird - Stationary Count,36,1,,,1
S34103569,Australian Ibis,Threskiornis moluccus,2294,6,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-02-2017,06:31 PM,eBird - Stationary Count,22,1,,,1
S34217575,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-07-2017,04:27 PM,eBird - Stationary Count,38,1,,,1
S34254056,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-09-2017,05:12 PM,eBird - Stationary Count,27,1,,,1
S34378128,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-15-2017,05:20 PM,eBird - Stationary Count,35,1,,,1
S34836062,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-27-2017,05:56 PM,eBird - Stationary Count,35,1,,,1
S34888521,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-01-2017,06:18 PM,eBird - Stationary Count,35,1,,,1
S35037821,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-08-2017,05:18 PM,eBird - Stationary Count,9,1,,,1
S36082236,Australian Ibis,Threskiornis moluccus,2294,5,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,10:41 AM,eBird - Traveling Count,22,1,.3,,1
S36086982,Australian Ibis,Threskiornis moluccus,2294,4,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,04:59 PM,eBird - Stationary Count,14,1,,,1
S37000261,Australian Ibis,Threskiornis moluccus,2294,2,AU-NSW,,"Little Riley St, Surry Hills",-33.8807239,151.2132166,05-20-2017,03:49 PM,eBird - Stationary Count,6,1,,,1
S34233068,Australian Ibis,Threskiornis moluccus,2294,25,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,02-08-2017,12:46 PM,eBird - Traveling Count,10,1,1,,1
S34369080,Australian Ibis,Threskiornis moluccus,2294,7,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,02-15-2017,09:08 AM,eBird - Stationary Count,3,1,,,1
S35891261,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-12-2017,04:12 PM,eBird - Traveling Count,6,1,1,,1
S34036814,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,Randwick,-33.91823,151.23006,01-30-2017,01:44 PM,eBird - Traveling Count,12,1,.2,,1
S38311411,Australian Ibis,Threskiornis moluccus,2294,6,AU-NSW,,Randwick Environment Park,-33.9315125,151.2478781,07-25-2017,01:51 PM,eBird - Traveling Count,55,1,2,,1
S36190791,Australian Ibis,Threskiornis moluccus,2294,8,AU-NSW,,Sydney Olympic Park--Waterbird Refuge,-33.83732,151.07839,04-23-2017,01:25 PM,eBird - Traveling Count,80,1,3,,1
S36778624,Australian Ibis,Threskiornis moluccus,2294,1,AU-NSW,,"The James Hilder Reserve, Surry Hills",-33.8806415,151.2125319,05-13-2017,10:00 AM,eBird - Stationary Count,5,1,,,2
S33874498,Straw-necked Ibis,Threskiornis spinicollis,2297,X,AU-NT,,Kakadu National Park--Mamukala Billabong,-12.6509116,132.5737703,06-17-2014,03:00 PM,eBird - Casual Observation,0,0,,,3
S33880479,Eurasian Spoonbill,Platalea leucorodia,2316,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S33894599,Royal Spoonbill,Platalea regia,2320,2,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-24-2017,09:49 AM,eBird - Traveling Count,27,1,.8,,1
S34023341,Royal Spoonbill,Platalea regia,2320,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,01-30-2017,08:38 AM,eBird - Traveling Count,27,1,1,,2
S35932805,Royal Spoonbill,Platalea regia,2320,2,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2
S34041186,Royal Spoonbill,Platalea regia,2320,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,01-30-2017,05:58 PM,eBird - Stationary Count,33,1,,,1
S34084833,Royal Spoonbill,Platalea regia,2320,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-01-2017,05:13 PM,eBird - Stationary Count,36,1,,,1
S33918739,Roseate Spoonbill,Platalea ajaja,2324,X,VE-P,,Rio Las Marias,9.1752284,-69.7145605,01-15-1999,07:00 AM,eBird - Casual Observation,0,0,,,1
S34059541,Black Vulture,Coragyps atratus,2358,X,CR-L,,Limon,9.9923335,-83.0256515,02-25-1996,04:00 PM,eBird - Casual Observation,0,0,,,1
S35625364,Turkey Vulture,Cathartes aura,2362,2,US-CA,Marin,5 Van Ripper Court,38.0122388,-122.5867897,04-01-2017,06:06 PM,eBird - Casual Observation,,0,,,2
S35430061,Turkey Vulture,Cathartes aura,2362,10,US-CA,Marin,Bon Tempe Lake,37.9574291,-122.6097822,03-25-2017,02:04 PM,eBird - Casual Observation,,0,,,6
S35447772,Turkey Vulture,Cathartes aura,2362,1,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35501895,Turkey Vulture,Cathartes aura,2362,3,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35460243,Turkey Vulture,Cathartes aura,2362,6,US-CA,Marin,Terra Linda-Sleepy Hollow Divide,38.0219719,-122.5763726,03-26-2017,11:00 AM,eBird - Casual Observation,0,0,,,2
S35546566,Turkey Vulture,Cathartes aura,2362,1,US-CA,Marin,"US-Califórnia-Inverness-Muddy Hollow Trail - 38,048x-122,869",38.0480833,-122.8693564,03-30-2017,01:16 PM,eBird - Traveling Count,10,1,.5,,1
S35216532,Turkey Vulture,Cathartes aura,2362,3,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-16-2017,10:43 AM,eBird - Traveling Count,70,1,2.5,,1
S35265932,Turkey Vulture,Cathartes aura,2362,5,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-18-2017,03:54 PM,eBird - Traveling Count,25,1,.4,,1
S35406037,Turkey Vulture,Cathartes aura,2362,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-24-2017,06:27 PM,eBird - Traveling Count,25,1,.9,,2
S35549518,Turkey Vulture,Cathartes aura,2362,2,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-30-2017,04:50 PM,eBird - Stationary Count,12,1,,,3
S35589788,Turkey Vulture,Cathartes aura,2362,4,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-31-2017,12:26 PM,eBird - Traveling Count,65,1,2.5,,4
S35655977,Turkey Vulture,Cathartes aura,2362,6,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,04-02-2017,05:12 PM,eBird - Traveling Count,10,1,.5,,2
S35216532,Osprey,Pandion haliaetus,2376,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-16-2017,10:43 AM,eBird - Traveling Count,70,1,2.5,,1,,With fish in talons
S35406037,Osprey,Pandion haliaetus,2376,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-24-2017,06:27 PM,eBird - Traveling Count,25,1,.9,,2
S34548191,Osprey (Australasian),Pandion haliaetus cristatus,2380,1,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-20-2017,01:33 PM,eBird - Casual Observation,,0,,,1
S35406037,White-tailed Kite,Elanus leucurus,2391,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-24-2017,06:27 PM,eBird - Traveling Count,25,1,.9,,2
S35651135,White-tailed Kite,Elanus leucurus,2391,1,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S36612515,Square-tailed Kite,Lophoictinia isura,2431.8,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S37602430,Booted Eagle,Hieraaetus pennatus,2575,1,PT-01,Vagos,Ria de Aveiro--Canal de Mira--troço Areão-Vagueira,40.5457354,-8.7682056,06-14-2017,02:01 PM,eBird - Traveling Count,45,1,2.5,,2
S36612401,Little Eagle,Hieraaetus morphnoides,2576.5,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-06-2017,07:04 AM,eBird - Traveling Count,600,1,18,,4
S33919291,Golden Eagle,Aquila chrysaetos,2588,X,US-OR,Lake,Paisley--Lovers Lane,42.6888005,-120.5208349,07-15-1998,05:45 PM,eBird - Casual Observation,0,0,,,4
S33201919,Wedge-tailed Eagle,Aquila audax,2595,2,AU-TAS,,Douglas Apsley National Park--Apsley Waterhole,-41.8627855,148.1861901,12-26-2016,06:50 PM,eBird - Stationary Count,15,1,,,1,F Flyover
S36612515,Wedge-tailed Eagle,Aquila audax,2595,1,AU-NSW,,Lee Creek,-32.5365624,150.1185141,05-07-2017,07:40 AM,eBird - Traveling Count,330,1,12,,4
S33874498,Swamp Harrier,Circus approximans,2647,X,AU-NT,,Kakadu National Park--Mamukala Billabong,-12.6509116,132.5737703,06-17-2014,03:00 PM,eBird - Casual Observation,0,0,,,3
S33920193,Swamp Harrier,Circus approximans,2647,X,AU-NT,,Kakadu National Park--South Alligator boatramp,-12.6609191,132.5041294,06-17-2014,09:45 AM,eBird - Casual Observation,0,0,,,3
S35238116,Northern Harrier,Circus cyaneus,2655,1,US-CA,Marin,Marin Art and Garden Center,37.9632068,-122.5557129,03-17-2017,12:57 PM,eBird - Casual Observation,,0,,,1,,,Crows mobbing harrier
S35546487,Northern Harrier,Circus cyaneus,2655,1,US-CA,Marin,Pt. Reyes--Limantour Beach Path,38.0268982,-122.8827238,03-30-2017,12:45 PM,eBird - Traveling Count,20,1,.8,,2
S35265932,Northern Harrier,Circus cyaneus,2655,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-18-2017,03:54 PM,eBird - Traveling Count,25,1,.4,,1
S35589788,Northern Harrier,Circus cyaneus,2655,1,US-CA,Marin,"top of crane dr., sleepy hollow",38.0154694,-122.5896296,03-31-2017,12:26 PM,eBird - Traveling Count,65,1,2.5,,4
S35932805,Brown Goshawk,Accipiter fasciatus,2730,3,AU-NSW,,Eastlakes golf course,-33.9378058,151.2056923,04-14-2017,06:02 AM,eBird - Traveling Count,180,1,2,,2,,2 soaring together over Wentworth Ave. And 1 harassing birds behind the maintenance sheds.
S37602468,Eurasian Sparrowhawk,Accipiter nisus,2797,1,PT-17,Peso da Régua,"PT-Vila Real - 41,154x-7,763 - 15/06/2017 2:57 da tarde",41.1541698,-7.7627772,06-13-2017,06:51 PM,eBird - Casual Observation,,0,,,2
S35515568,Sharp-shinned Hawk,Accipiter striatus,2807,2,US-CA,Marin,"US-Califórnia-San Anselmo-13 Arroyo Avenue - 37,992x-122,576",37.9921655,-122.575687,03-29-2017,09:12 AM,eBird - Casual Observation,,0,,,2,NB Nest Building
S35447772,Cooper's Hawk,Accipiter cooperii,2821,1,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35447823,Cooper's Hawk,Accipiter cooperii,2821,1,US-CA,Marin,"US-Califórnia-San Anselmo-5 Van Ripper Court - 38,012x-122,587 - 26/03/2017 12:36 da tarde",38.0121533,-122.5867675,03-26-2017,08:55 AM,eBird - Casual Observation,,0,,,1
S37551548,Red Kite,Milvus milvus,2834,1,PT-17,Alijó,Alijó,41.2753139,-7.4746704,06-12-2017,06:30 PM,eBird - Stationary Count,20,1,,,2,,"Very distinct red color, especially on the top of the tail feathers.  Clearly different than the many Black Kites in the area.   Missed a strike on something out of sight and then was chased away"
S37371062,Red Kite,Milvus milvus,2834,1,LU-D,,Dirbach Plage,49.9212458,6.0357885,06-04-2017,10:24 AM,eBird - Traveling Count,75,0,.5,,1
S33882090,Black Kite,Milvus migrans,2855,X,IN-RJ,Jodhpur,Barli Lake,26.3153438,72.9285765,03-18-2015,03:00 PM,eBird - Casual Observation,0,0,,,2
S37453912,Black Kite,Milvus migrans,2855,1,PT-18,Tondela,Ecopista do Dão,40.5362115,-8.056277,06-07-2017,06:23 PM,eBird - Traveling Count,120,1,5,,2
S37492222,Black Kite,Milvus migrans,2855,1,PT-18,Tondela,Ecopista do Dão,40.5362115,-8.056277,06-09-2017,07:25 PM,eBird - Traveling Count,40,1,1.5,,1
S37446724,Black Kite,Milvus migrans,2855,1,PT-18,Tondela,PT-321 Rua Principal,40.5359335,-8.0552088,06-07-2017,02:00 PM,eBird - Stationary Count,30,1,,,1,F Flyover
S37602430,Black Kite,Milvus migrans,2855,1,PT-01,Vagos,Ria de Aveiro--Canal de Mira--troço Areão-Vagueira,40.5457354,-8.7682056,06-14-2017,02:01 PM,eBird - Traveling Count,45,1,2.5,,2
S37551815,Black Kite,Milvus migrans,2855,1,PT-13,Vila Nova de Gaia,Barragem de Crestula-Lever,41.0722408,-8.4865713,06-12-2017,11:00 AM,eBird - Stationary Count,15,1,,,2
S37602371,Black Kite,Milvus migrans,2855,1,PT-01,Ílhavo,Ria de Aveiro--Canal de Mira--troço Vagueira-Costa Nova/Gafanha da Encarnação,40.5954158,-8.7488079,06-15-2017,10:09 AM,eBird - Traveling Count,180,1,5,,2
S33881608,Black Kite,Milvus migrans,2855,10,AU-NT,,Charles Darwin University,-12.37207,130.86976,06-16-2014,02:00 PM,eBird - Casual Observation,0,0
S33874498,Black Kite,Milvus migrans,2855,X,AU-NT,,Kakadu National Park--Mamukala Billabong,-12.6509116,132.5737703,06-17-2014,03:00 PM,eBird - Casual Observation,0,0,,,3
S34596992,Whistling Kite,Haliastur sphenurus,2870,1,AU-NSW,,AU-New South Wales-Seal Rocks-Horse Point Road - -32.398x152.485,-32.3977925,152.4854876,02-21-2017,09:50 AM,eBird - Casual Observation,,0,,,1
S34489602,Whistling Kite,Haliastur sphenurus,2870,1,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-19-2017,03:00 PM,eBird - Casual Observation,,0,,,1
S34548191,Whistling Kite,Haliastur sphenurus,2870,1,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-20-2017,01:33 PM,eBird - Casual Observation,,0,,,1
